"filename", "language", "Dart", "comment", "blank", "total"
"/home/hsvsurya/Flutter Projects/olx_clone/lib/Models/chat_users.dart", "Dart", 66, 0, 6, 72
"/home/hsvsurya/Flutter Projects/olx_clone/lib/Models/products.dart", "Dart", 270, 0, 6, 276
"/home/hsvsurya/Flutter Projects/olx_clone/lib/Widgets/product_grid.dart", "Dart", 106, 4, 5, 115
"/home/hsvsurya/Flutter Projects/olx_clone/lib/main.dart", "Dart", 248, 8, 18, 274
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/account_screen.dart", "Dart", 109, 0, 3, 112
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/ads_screen.dart", "Dart", 122, 4, 8, 134
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/category_screen.dart", "Dart", 488, 0, 26, 514
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/chat_detail_screen.dart", "Dart", 147, 12, 16, 175
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/chats_screen.dart", "Dart", 54, 2, 7, 63
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/home_screen.dart", "Dart", 526, 32, 26, 584
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/product_detail_screen.dart", "Dart", 186, 0, 4, 190
"/home/hsvsurya/Flutter Projects/olx_clone/lib/screens/search_result_screen.dart", "Dart", 116, 7, 4, 127
"Total", "-", 2438, 69, 129, 2636